Champion,wr,wrdelta,rankwr,Pick Rate,Ban Rate,PBI Index,PBIno,lane,games,rank,wrdiff
Karthus,61.32,5.97,58.11,3.78,5.82,13.0,4.049844236760124,bottom lane,424,CHALLENGER,3.210000000000001
Talon,61.55,12.08,58.11,11.37,24.14,52.0,15.116279069767453,jungle lane,1277,CHALLENGER,3.4399999999999977
Riven,63.98,11.22,58.11,4.97,6.57,31.0,5.281090289608179,top lane,558,CHALLENGER,5.869999999999997
Zed,63.11,9.75,58.11,9.17,29.94,65.0,13.0,middle lane,1030,CHALLENGER,5.0
Thresh,60.95,8.97,58.11,4.51,5.49,14.0,4.929577464788727,support lane,507,CHALLENGER,2.8400000000000034
Lee Sin,59.6,7.42,58.11,15.12,11.29,25.0,16.778523489932862,jungle lane,1698,CHALLENGER,1.490000000000002
Ahri,60.5,11.0,58.11,13.23,4.12,33.0,13.807531380753135,middle lane,1486,CHALLENGER,2.3900000000000006
Jinx,60.18,8.46,58.11,6.08,1.39,13.0,6.280193236714975,bottom lane,683,CHALLENGER,2.0700000000000003
Senna,62.5,12.05,58.11,7.27,2.16,33.0,7.517084282460136,support lane,816,CHALLENGER,4.390000000000001
Irelia,59.03,4.7,58.11,5.52,13.19,6.0,6.521739130434771,top lane,620,CHALLENGER,0.9200000000000017
Bard,59.14,7.32,58.11,13.40,9.88,15.0,14.56310679611649,support lane,1505,CHALLENGER,1.0300000000000011
Naafiri,59.62,8.32,58.11,10.23,34.67,24.0,15.894039735099359,jungle lane,1149,CHALLENGER,1.509999999999998
Karma,57.55,7.96,58.11,10.97,9.65,-7.0,-12.499999999999948,support lane,1232,CHALLENGER,-0.5600000000000023
Qiyana,59.51,12.92,58.11,9.46,10.10,15.0,10.714285714285726,middle lane,1062,CHALLENGER,1.3999999999999986
Smolder,58.98,7.45,58.11,14.09,15.96,15.0,17.24137931034488,bottom lane,1582,CHALLENGER,0.8699999999999974
Olaf,62.27,7.72,58.11,3.37,2.64,14.0,3.3653846153846123,top lane,379,CHALLENGER,4.160000000000004
Vladimir,61.13,15.06,58.11,6.48,8.38,21.0,6.953642384105953,middle lane,728,CHALLENGER,3.020000000000003
Graves,58.59,5.63,58.11,14.00,21.24,9.0,18.749999999999844,jungle lane,1572,CHALLENGER,0.480000000000004
Nautilus,55.94,8.32,58.11,9.52,11.65,-23.0,-10.599078341013817,support lane,1069,CHALLENGER,-2.1700000000000017
Yunara,58.91,6.27,58.11,9.64,2.30,8.0,10.000000000000036,bottom lane,1083,CHALLENGER,0.7999999999999972
Katarina,61.63,17.01,58.11,6.01,14.55,25.0,7.102272727272721,middle lane,675,CHALLENGER,3.520000000000003
Draven,58.47,11.1,58.11,4.89,24.95,2.0,5.555555555555564,bottom lane,549,CHALLENGER,0.35999999999999943
Camille,63.5,11.33,58.11,3.56,0.99,19.0,3.525046382189239,top lane,400,CHALLENGER,5.390000000000001
Rell,61.43,6.35,58.11,4.48,1.13,15.0,4.518072289156626,support lane,503,CHALLENGER,3.3200000000000003
Master Yi,63.08,15.71,58.11,4.39,13.64,25.0,5.030181086519116,jungle lane,493,CHALLENGER,4.969999999999999
Soraka,59.91,7.16,58.11,4.09,2.25,8.0,4.444444444444452,support lane,459,CHALLENGER,1.7999999999999972
Jayce,57.89,9.21,58.11,9.77,10.76,-2.0,-9.090909090909138,top lane,1097,CHALLENGER,-0.21999999999999886
Jhin,57.09,7.25,58.11,11.68,0.50,-12.0,-11.764705882352986,bottom lane,1312,CHALLENGER,-1.019999999999996
Ekko,61.65,9.37,58.11,4.43,2.93,16.0,4.519774011299436,middle lane,498,CHALLENGER,3.539999999999999
